country_label,primary_language,category,name_local,name_english,official_website,confidence,statutory_role,notes
Türkiye,Turkish,NuclearAgency,Nükleer Düzenleme Kurumu (NDK),Nuclear Regulatory Authority (NDK),https://www.ndk.org.tr/en-US,HIGH,National authority regulating nuclear energy and ionizing radiation activities; nuclear safety and radiation protection oversight.,
Türkiye,Turkish,EnergyIndustryAssociation,Elektrik Üreticileri Derneği (EÜD),Electricity Producers Association (EÜD),https://www.eud.org.tr/,HIGH,Industry association representing electricity producers in Türkiye.,
Türkiye,Turkish,RenewableIndustryAssociation,Türkiye Rüzgar Enerjisi Birliği (TÜREB),Turkish Wind Energy Association (TÜREB),https://tureb.com.tr/,HIGH,National renewable industry association for wind energy sector.,Selected as primary renewables association (wind).
Türkiye,Turkish,EnergyResearchInstitute,"Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu (TENMAK)","Turkish Energy, Nuclear and Mineral Research Agency (TENMAK)",https://www.tenmak.gov.tr/,MED,"National research agency for energy, nuclear and mining R&D and related programs.",
Vietnam,Vietnamese,EnergyMinistry,Bộ Công Thương,Ministry of Industry and Trade (MOIT),https://moit.gov.vn/en,HIGH,National ministry responsible for industry and trade; leads state management of the power sector and energy policy.,
Vietnam,Vietnamese,ElectricityRegulator,Cục Điều tiết điện lực (ERAV),Electricity Regulatory Authority of Vietnam (ERAV),http://erav.vn/,HIGH,National electricity regulatory authority under MOIT responsible for electricity regulation activities.,
Vietnam,Vietnamese,TSO,Trung tâm Điều độ Hệ thống điện Quốc gia (EVNNLDC),EVN National Load Dispatch Centre (NLDC),https://thitruongdien.evn.com.vn/,MED,National power system dispatch/load dispatch center performing system operation functions.,Often referenced as EVNNLDC (A0); public portal commonly via EVN market site.
Vietnam,Vietnamese,MarketOperator,Trung tâm Điều độ Hệ thống điện Quốc gia (EVNNLDC),EVN National Load Dispatch Centre (NLDC),https://thitruongdien.evn.com.vn/,MED,Supports operation of competitive electricity market systems and dispatch-related market operations.,Same institution as TSO; retained due to distinct role.
Vietnam,Vietnamese,SystemPlanningBody,Cục Điện lực (EAV),Electricity Authority of Viet Nam (EAV),https://www.eav.gov.vn/en-US,MED,Power-sector state management body under MOIT with functions including power development planning and renewable energy development.,
Vietnam,Vietnamese,NuclearAgency,Cục An toàn bức xạ và hạt nhân (VARANS),Vietnam Agency for Radiation and Nuclear Safety (VARANS),https://www.varans.vn/,HIGH,National radiation and nuclear safety authority under MOST.,
Vietnam,Vietnamese,EnergyIndustryAssociation,Hiệp hội Năng lượng Việt Nam (VEA),Vietnam Energy Association (VEA),https://nangluongvietnam.vn/hiep-hoi-nang-luong-viet-nam-vea,MED,National energy industry association engaging on energy policy and sector coordination.,Primary national association presence; site is hosted on nangluongvietnam.vn.
